,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age_x,BLK,BLK%,BPM,DBPM,DRB,DRB%,DRtg,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,GS_x,G_x,Ht,Lg_x,MP.1_x,MP_x,OBPM,ORB,ORB%,ORtg,OWS,PER,PF,PTS,Player,STL,STL%,Season_x,TOV,TOV%,TRB,TRB%,TS%_x,Tm_x,USG%,VORP,WS,WS/48,cfga,cfgm,dfga,dfgm,dist,eFG%,ftast,pass,player_year,rimd,sast,spd,tchs
125,4,0.413,9.7,0,0,0,0.003,1.7,7.4,25,1.4,3.1,-2.8,0.4,4.6,14.6,110,0.6,4,0.412,9.7,1.7,0.671,2.6,0.268,18,67,7-0,NBA,1133,16.9,-3.3,2.8,8.4,100,0.3,10.9,3.8,9.8,Robert Sacre,0.9,1.3,2014-15,1.1,9.5,7.4,11.4,0.449,LAL,14.8,-0.2,0.8,0.035,2.25609756098,0.890243902439,3.4756097561,1.87804878049,0.901341463415,0.412,0.0853658536585,14.1463414634,Robert Sacre/2014-15,2.48387096774,0.109756097561,3.1943902439,19.5365853659
569,2.1,0.453,4.6,1.6,0.345,4.8,0.511,2.6,10,29,0.3,0.7,-1,0.1,3.2,10.3,108,1.7,3.7,0.398,9.3,1.7,0.728,2.3,0.248,43,80,6-6,NBA,1951,24.4,-1,0.7,2,104,1,9.3,3.6,10.7,Garrett Temple,1.3,1.7,2015-16,1.2,10.3,3.9,6.1,0.52,WAS,14,0.5,2.7,0.066,2.26829268293,1.01219512195,1.78048780488,0.90243902439,1.73182926829,0.486,0.134146341463,22.0365853659,Garrett Temple/2015-16,1.23333333333,0.451219512195,4.25768292683,30.9268292683
246,4.7,0.571,8.2,0.6,0.284,2,0.196,1.3,6.1,25,1.1,2.6,1.4,1.9,5.8,19.5,105,1.9,5.2,0.515,10.2,2.9,0.759,3.8,0.374,3,77,6-11,NBA,1333,17.3,-0.5,2.5,7.7,120,2.7,17.6,3.6,13.9,Dwight Powell,1.6,2.4,2016-17,0.9,7.2,8.3,13.3,0.588,DAL,16.7,1.2,4.6,0.165,2.26829268293,1.43902439024,2.90243902439,1.78048780488,1.13256097561,0.542,0.0243902439024,18.1097560976,Dwight Powell/2016-17,2.21212121212,0.19512195122,3.97195121951,24.4756097561
388,3.5,0.491,7.2,0.9,0.337,2.6,0.266,1.6,6.8,21,0.8,1.7,-0.4,0.9,3.8,11.6,104,1.8,4.4,0.45,9.8,1.5,0.734,2,0.202,13,74,6-8,NBA,1432,19.4,-1.4,1.8,5.6,105,1,11.6,2.4,11.2,Otto Porter,1.1,1.6,2014-15,1.3,10.9,5.6,8.7,0.523,WAS,15.1,0.6,2.7,0.092,2.27173913043,1.09782608696,1.38043478261,0.79347826087,1.39945652174,0.495,0.0869565217391,14.5543478261,Otto Porter/2014-15,1.12307692308,0.29347826087,3.98706521739,21.5326086957
604,2.8,0.651,4.3,1.2,0.362,3.2,0.427,4.7,16.7,33,0.7,1.5,3,1.7,4.6,13.1,105,2.9,3.9,0.528,7.5,1.3,0.706,1.8,0.246,0,76,6-6,NBA,1998,26.3,1.3,0.9,3,129,4.1,14.4,1.7,10.3,Andre Iguodala,1.4,1.8,2016-17,1,11.2,5.5,8.3,0.624,GSW,11.2,2.5,6.9,0.167,2.27173913043,1.21739130435,1.98913043478,1.04347826087,1.78152173913,0.605,0.271739130435,32.1304347826,Andre Iguodala/2016-17,1.31506849315,1.16304347826,4.095,40.2608695652
385,4.5,0.541,8.2,0,0.1,0.3,0.033,1.3,5.7,23,0.7,1.4,-1.4,0.6,6,18.6,109,0.9,4.5,0.527,8.5,0.9,0.681,1.3,0.157,22,63,6-9,NBA,1266,20.1,-2,2.9,8.3,111,1.3,13.4,3.5,9.9,Larry Nance,1.5,2.1,2015-16,1.2,11.3,8.9,13.3,0.544,LAL,12.6,0.2,2.2,0.083,2.28358208955,1.29850746269,2.17910447761,1.20895522388,1.39492537313,0.528,0.119402985075,25.5820895522,Larry Nance/2015-16,1.55769230769,0.164179104478,4.16417910448,31.7313432836
248,2.9,0.543,5.4,0,,0,0,0.5,2,22,2.9,6.3,-0.4,2.8,7.2,22.6,99,2.2,2.9,0.543,5.4,3,0.583,5.1,0.941,21,64,6-9,NBA,1243,19.4,-3.2,4.6,13.7,115,1.8,15.2,4.1,8.8,Bismack Biyombo,0.5,0.7,2014-15,1.5,16.5,11.8,18,0.578,CHO,11.6,0.5,4,0.156,2.28378378378,1.24324324324,3.90540540541,1.91891891892,1.13391891892,0.543,0.0135135135135,9.71621621622,Bismack Biyombo/2014-15,2.36666666667,0.108108108108,3.515,14.2297297297
700,1.2,0.42,2.7,2.4,0.379,6.2,0.693,2.5,9.6,29,1.2,2.6,2.4,2.7,3.8,11.8,104,3,3.5,0.392,8.9,0.5,0.844,0.6,0.071,68,68,6-6,NBA,1807,26.6,-0.3,0.6,2,103,0.4,10.2,2.4,9.9,Danny Green,1.4,2,2016-17,1.5,14.1,4.5,7,0.537,SAS,13.5,2,3.4,0.09,2.28915662651,0.867469879518,2.80722891566,1.44578313253,1.95120481928,0.523,0.192771084337,29.4939759036,Danny Green/2016-17,1.6,0.493975903614,4.3921686747,38.4698795181
347,3,0.485,6.1,0.9,0.274,3.3,0.347,1.6,6.1,24,1.6,3.7,2.4,2.9,6,18.4,102,2,3.9,0.412,9.4,2.2,0.712,3.1,0.331,3,74,6-9,NBA,1366,18.5,-0.5,3,9.1,107,1.2,14.4,3.6,10.9,AlFarouq Aminu,1.8,2.6,2014-15,1.4,11.9,9,13.7,0.504,DAL,15.2,1.5,3.3,0.115,2.29411764706,1.08235294118,2.8,1.23529411765,1.34105882353,0.459,0.0705882352941,17.8470588235,AlFarouq Aminu/2014-15,1.59090909091,0.223529411765,4.17282352941,24.7411764706
602,2.3,0.536,4.2,1.8,0.371,4.7,0.529,2.6,10.7,25,0.7,1.6,3.2,0.7,5.1,16.3,108,1.7,4,0.449,8.9,1.1,0.788,1.3,0.15,4,81,6-9,NBA,2156,26.6,2.5,2.1,6.8,122,4.4,14.6,2.5,10.8,Patrick Patterson,1,1.4,2014-15,0.9,8.7,7.2,11.6,0.568,TOR,13.1,2.8,6.1,0.137,2.29411764706,1.07058823529,4.91764705882,2.52941176471,1.78094117647,0.547,0.164705882353,36.1764705882,Patrick Patterson/2014-15,2.59036144578,0.435294117647,4.01576470588,44.5058823529
197,4.1,0.585,7,0,0,0,0.003,1.4,6,33,1,2.2,-0.5,1.3,8.9,27.5,107,1.6,4.1,0.583,7,2.4,0.62,3.8,0.545,60,66,7-1,NBA,1618,24.5,-1.9,3.9,11.5,114,2.1,14.7,3.2,10.5,Tyson Chandler,0.8,1.1,2015-16,2.1,19.3,12.8,19.3,0.606,PHO,12.7,0.6,3.8,0.112,2.3,1.35,3.44,1.8,1.0422,0.583,0.1,22.15,Tyson Chandler/2015-16,2.8125,0.27,2.5721,27.56
16,7.5,0.439,17,1,0.387,2.7,0.136,2.6,11.4,28,1.5,3,-3.9,-1.1,7,19.8,103,1.2,8.5,0.432,19.7,4.1,0.825,4.9,0.25,0,72,6-10,NBA,832,11.6,-2.9,3.3,10.6,102,0.5,17.1,5.1,22.2,Marreese Speights,0.8,1.1,2015-16,2.9,11.5,10.3,15.5,0.506,GSW,29.7,-0.4,1.8,0.102,2.30508474576,0.85593220339,2.20338983051,1.07627118644,0.558220338983,0.458,0.0338983050847,11.5423728814,Marreese Speights/2015-16,1.69333333333,0.161016949153,3.14694915254,18.0423728814
141,3.7,0.517,7.1,1.9,0.321,6,0.455,2.4,10.3,27,0.4,0.9,-2.7,-2.5,2.8,8.4,114,0.4,5.6,0.428,13.1,1.9,0.809,2.4,0.184,5,68,6-9,NBA,1016,14.9,-0.2,1.7,5,107,0.8,12.4,2.8,15.1,Mindaugas Kuzminskas,1,1.4,2016-17,1.8,11.3,4.5,6.7,0.533,NYK,19.2,-0.2,1.2,0.055,2.30864197531,1.03703703704,0.83950617284,0.481481481481,0.93012345679,0.501,0.0617283950617,13.5308641975,Mindaugas Kuzminskas/2016-17,0.975,0.185185185185,3.75481481481,19.5061728395
378,1.7,0.441,3.9,1.8,0.379,4.9,0.553,1.8,7.3,34,0.1,0.2,-1.5,-0.5,3.9,12.2,109,1,3.6,0.407,8.8,1.2,0.902,1.4,0.154,21,78,6-7,NBA,1623,20.8,-1,0.5,1.4,108,1.3,9.3,2.7,10.2,Caron Butler,1,1.4,2014-15,1.1,10.4,4.3,6.6,0.544,DET,12.9,0.2,2.4,0.07,2.3125,0.95,1.625,1,1.38475,0.511,0.1125,24.0875,Caron Butler/2014-15,1.31147540984,0.1625,3.9805,30.4875
229,3.3,0.519,6.3,1.3,0.295,4.4,0.41,3.3,14.2,21,0.4,0.8,-2.5,-0.5,3,9.3,109,1.3,4.5,0.427,10.6,1.7,0.795,2.1,0.201,26,66,6-6,NBA,1228,18.6,-2,0.9,2.9,100,-0.1,8.6,4.3,12.1,Dante Exum,0.6,0.9,2016-17,2.3,16.8,3.9,6.2,0.521,UTA,18.1,-0.1,1.2,0.047,2.32941176471,1.15294117647,1.05882352941,0.564705882353,1.10729411765,0.488,0.247058823529,19.5647058824,Dante Exum/2016-17,1.02127659574,0.329411764706,3.64647058824,26.7529411765
80,1.7,0.363,4.7,2.7,0.325,8.3,0.637,1.2,5.4,30,0.2,0.5,-4.8,-3.5,2.9,9,115,0,4.4,0.339,13,2.2,0.829,2.6,0.204,2,54,6-7,NBA,1033,19.1,-1.4,0.5,1.4,98,0.1,9.1,1.7,13.7,Nick Young,0.8,1.1,2015-16,1,6.9,3.4,5.1,0.483,LAL,18.5,-0.7,0.1,0.003,2.33333333333,0.797619047619,0.845238095238,0.5,0.7925,0.442,0.0595238095238,8.5119047619,Nick Young/2015-16,1.07692307692,0.130952380952,2.46380952381,14.0952380952
222,3.7,0.552,6.7,0,,0,0,1,4.4,28,1.4,3.1,-1.2,2.6,7.9,24,100,2,3.7,0.552,6.7,1,0.304,3.2,0.481,6,61,6-11,NBA,1146,18.8,-3.8,3.3,10.2,98,0.1,10.8,5.4,8.3,Ian Mahinmi,0.9,1.3,2014-15,1.9,18.7,11.2,17.2,0.516,IND,12.5,0.2,2.1,0.09,2.33802816901,1.35211267606,4.66197183099,2.11267605634,1.08478873239,0.552,0.0281690140845,16.985915493,Ian Mahinmi/2014-15,2.45901639344,0.352112676056,3.45915492958,21.6478873239
417,5.1,0.52,9.9,0.9,0.326,2.6,0.212,1,3.9,26,2.1,4.5,-0.1,1,5.6,16.2,105,3,6,0.479,12.5,1.3,0.752,1.7,0.139,78,78,6-10,NBA,2500,32.1,-1.1,2,6.5,108,2.5,13.9,3,14.2,Serge Ibaka,0.5,0.8,2015-16,1.6,10.5,7.7,11.6,0.533,OKC,17.6,1.2,5.5,0.105,2.34057971014,1.30434782609,5.02173913043,2.19565217391,1.44557971014,0.513,0.0579710144928,16.115942029,Serge Ibaka/2015-16,3.25806451613,0.195652173913,2.68782608696,25.2753623188
539,1.7,0.49,3.6,1.9,0.362,5.2,0.594,1.7,7.1,26,0.6,1.3,1,0.6,4.7,14.8,107,2,3.6,0.414,8.8,0.5,0.853,0.6,0.069,0,79,6-9,NBA,2020,25.6,0.4,1.4,4.4,108,1.6,10.6,2.3,9.7,Patrick Patterson,0.9,1.4,2015-16,1.2,11.3,6.1,9.7,0.534,TOR,12.9,1.5,3.6,0.086,2.35,1.1,3.02,1.46,1.681,0.521,0.14,32.94,Patrick Patterson/2015-16,1.6404494382,0.43,3.8576,40.73
45,4.3,0.475,9,1.6,0.361,4.4,0.329,2.3,10.3,31,0,0.1,-6.1,-3.6,2.6,8.3,112,0.2,5.9,0.437,13.4,2.6,0.836,3.1,0.227,0,56,6-3,NBA,790,14.1,-2.5,0.3,0.8,98,0.1,10.6,2.7,15.9,Ben Gordon,0.6,0.9,2014-15,2.5,14.5,2.9,4.5,0.538,ORL,21.8,-0.8,0.3,0.015,2.35526315789,0.921052631579,0.368421052632,0.25,0.706842105263,0.497,0.0526315789474,6.96052631579,Ben Gordon/2014-15,0.95,0.210526315789,3.01907894737,12.8157894737
152,4.1,0.535,7.7,0,,0,0,1,4.2,26,2,4.3,-0.2,2.5,6.3,19.3,103,1.7,4.1,0.535,7.7,0.7,0.478,1.4,0.181,28,73,6-11,NBA,1194,16.4,-2.8,3.4,10.3,107,0.9,13.4,3.3,8.9,Miles Plumlee,1.2,1.7,2014-15,1.5,15.7,9.6,14.8,0.536,TOT,12,0.5,2.6,0.103,2.3595505618,1.14606741573,5.03370786517,2.57303370787,0.942359550562,0.535,0.0224719101124,14.9550561798,Miles Plumlee/2014-15,3.22535211268,0.123595505618,3.47573033708,19.2247191011
370,3.2,0.474,6.7,1.7,0.362,4.6,0.407,2,7.9,22,0.2,0.6,-3.2,-1.2,2.8,8.5,111,0.7,4.9,0.429,11.4,1.8,0.718,2.6,0.226,53,68,6-5,NBA,1443,21.2,-2,0.8,2.6,95,-0.4,8.6,3.5,13.2,Ben McLemore,1.3,1.7,2015-16,2.5,16.5,3.7,5.6,0.531,SAC,17.6,-0.4,0.3,0.01,2.36144578313,1.06024096386,1.32530120482,0.722891566265,1.36734939759,0.502,0.10843373494,12.5542168675,Ben McLemore/2015-16,1.2,0.168674698795,3.86,20.3373493976
207,3.7,0.525,7,1,0.244,4,0.367,2.5,12,21,0.8,1.9,-4.4,-0.4,4.1,12.9,106,1.1,4.6,0.422,11,2,0.67,3,0.272,32,74,6-9,NBA,1131,15.3,-4,1.1,3.2,93,-0.5,9.4,4.3,12.3,JaKarr Sampson,1.2,1.7,2014-15,2.4,16.4,5.2,7.8,0.498,PHI,17.9,-0.7,0.6,0.025,2.375,1.125,1.8625,0.85,1.063625,0.467,0.025,15,JaKarr Sampson/2014-15,1.13333333333,0.2375,4.1635,21.4875
391,3.3,0.571,5.7,1.7,0.321,5.4,0.484,3.2,13.7,22,0.2,0.5,-1.1,-0.4,4.8,13.9,111,1,5,0.45,11.1,1.9,0.72,2.7,0.245,26,57,6-7,NBA,1237,21.7,-0.7,0.7,2,107,0.8,12.2,2.6,13.6,Caris LeVert,1.4,1.9,2016-17,1.7,12.3,5.5,8,0.556,BRK,16.6,0.3,1.8,0.07,2.37704918033,1.3606557377,1.59016393443,0.983606557377,1.40475409836,0.528,0.0983606557377,19.0983606557,Caris LeVert/2016-17,1.39534883721,0.426229508197,3.88590163934,27.8360655738
230,4.3,0.626,6.9,0,1,0,0.004,4,14.8,31,2.8,5.8,4.5,5.1,9.2,26,99,2.9,4.3,0.627,6.9,0.6,0.48,1.2,0.179,66,70,7-0,NBA,1451,20.7,-0.6,3,9.5,120,2.6,15.9,5.5,9.3,Andrew Bogut,0.8,1.1,2015-16,2.1,21.6,12.2,18.3,0.623,GSW,11.4,2.4,5.4,0.18,2.3786407767,1.40776699029,5.1067961165,2.33009708738,1.10844660194,0.629,0.0485436893204,25.9902912621,Andrew Bogut/2015-16,2.82352941176,0.611650485437,3.36805825243,31.3980582524
291,3.6,0.591,6.1,1.5,0.321,4.7,0.436,1.9,7.7,22,0.5,1.2,-1.1,-0.6,4.8,14.6,110,1.2,5.2,0.473,10.9,1,0.559,1.7,0.159,2,77,6-9,NBA,1419,18.4,-0.4,2.4,7.2,115,1.9,13,2.1,12.8,Sam Dekker,1,1.3,2016-17,1,8.2,7.2,10.9,0.549,HOU,14.9,0.3,3.1,0.105,2.37931034483,1.25287356322,2.35632183908,1.24137931034,1.20988505747,0.543,0.0344827586207,15.6436781609,Sam Dekker/2016-17,1.63636363636,0.229885057471,4.15344827586,21.5517241379
698,2.2,0.496,4.5,1.5,0.414,3.6,0.446,5.3,22.4,34,0.1,0.3,-0.1,-0.6,3.7,11,109,1.4,3.7,0.459,8.1,0.7,0.875,0.9,0.105,72,72,6-3,NBA,2024,28.1,0.5,0.4,1.2,114,2.7,12.3,2.4,9.7,Jose Calderon,1.1,1.6,2015-16,1.5,15.4,4.1,6.2,0.571,NYK,12.6,1,4,0.096,2.39726027397,1.05479452055,1.46575342466,0.835616438356,1.94821917808,0.552,0.356164383562,58.2465753425,Jose Calderon/2015-16,1.12962962963,1.01369863014,4.16794520548,68.4520547945
280,3.5,0.445,7.8,0,0,0,0.005,1.8,8,29,2.1,4.6,-1.3,1.9,5.1,15.8,110,1,3.5,0.443,7.9,2.2,0.807,2.8,0.353,81,81,7-2,NBA,1878,23.2,-3.1,2.5,7.3,105,1.1,11.2,4.8,9.2,Roy Hibbert,0.6,0.9,2015-16,1.5,13.8,7.6,11.4,0.507,LAL,12.9,0.3,2.2,0.056,2.4,1.04761904762,4.4,2.20952380952,1.19704761905,0.443,0.0666666666667,17.1523809524,Roy Hibbert/2015-16,3.01298701299,0.114285714286,3.10038095238,22.8857142857
257,3.1,0.44,7,1.7,0.321,5.2,0.427,4.4,20.3,29,0.2,0.4,-2.5,-1.7,2.6,8.2,107,1.2,4.8,0.389,12.2,1.8,0.892,2,0.164,10,72,6-1,NBA,1330,18.5,-0.8,0.4,1,101,0.6,11.7,2,13,Brian Roberts,0.9,1.3,2014-15,1.5,10.5,3,4.5,0.495,CHO,18.6,-0.2,1.8,0.064,2.40243902439,1.01219512195,0.59756097561,0.329268292683,1.1637804878,0.458,0.0975609756098,28.7926829268,Brian Roberts/2014-15,0.870967741935,0.707317073171,3.79804878049,37.0853658537
50,5.7,0.488,11.6,0,0,0.1,0.008,1.5,7.6,23,0.9,1.9,-2.7,1.1,9.4,28.6,99,1.4,5.7,0.485,11.7,2.5,0.528,4.8,0.408,4,54,6-10,NBA,798,14.8,-3.8,4.3,12.6,98,0,15.3,4.7,13.9,Thomas Robinson,1.4,2,2014-15,2.7,16.1,13.7,20.5,0.502,TOT,20.2,-0.1,1.5,0.089,2.40506329114,1.18987341772,1.79746835443,0.860759493671,0.717721518987,0.485,0.0506329113924,13.5063291139,Thomas Robinson/2014-15,1.51111111111,0.189873417722,2.90151898734,18.5316455696
402,1.6,0.418,3.9,2.2,0.378,5.9,0.604,2.7,11.5,40,0.7,1.9,1,0.9,3.8,12.5,108,2.1,3.9,0.394,9.8,1.8,0.765,2.3,0.235,15,73,6-6,NBA,1799,24.6,0.1,0.7,2.2,112,1.9,11.7,3.3,11.7,Vince Carter,1.2,1.7,2016-17,1,8.5,4.5,7.2,0.542,MEM,14.9,1.4,4,0.106,2.40909090909,0.897727272727,1.55681818182,0.829545454545,1.42806818182,0.508,0.0909090909091,22.5,Vince Carter/2016-17,1.30357142857,0.443181818182,3.46613636364,31.0454545455
363,2.9,0.446,6.5,0.9,0.313,3,0.317,7.9,31.4,26,0.1,0.3,-2.2,-0.7,3.3,9.7,110,1.4,3.8,0.403,9.5,2.3,0.76,3,0.319,35,65,6-1,NBA,1525,23.5,-1.5,0.8,2.3,106,1,12.4,3.1,11,Tim Frazier,1.3,1.8,2016-17,2.4,18,4.1,6,0.504,NOP,16.3,-0.1,2.4,0.075,2.4125,1.0375,1.05,0.525,1.360375,0.453,0.225,37.5625,Tim Frazier/2016-17,1.13513513514,0.8,3.483625,46.8125
321,2.9,0.462,6.3,0.9,0.321,2.9,0.313,2.8,11.2,30,0.8,1.8,1.3,2.5,6.3,19.3,100,1.7,3.8,0.418,9.2,1.7,0.776,2.1,0.233,7,52,6-7,NBA,976,18.8,-1.2,2,6.4,106,0.8,13.8,2.5,10.3,Thabo Sefolosha,2,2.8,2014-15,1.4,12.2,8.2,13.1,0.506,ATL,14.6,0.8,2.5,0.121,2.41818181818,1.14545454545,1.47272727273,0.672727272727,1.27636363636,0.468,0.0727272727273,23.0363636364,Thabo Sefolosha/2014-15,0.973684210526,0.527272727273,4.10109090909,29.9272727273
267,2.9,0.475,6.1,1.5,0.311,4.9,0.446,2.3,9.6,21,0.3,0.7,-4,-1.2,3.8,11.5,112,0.8,4.4,0.402,10.9,3.2,0.854,3.7,0.341,19,69,6-6,NBA,1190,17.2,-2.8,0.8,2.3,100,0,8.5,4.7,13.5,Timothe LuwawuCabarrot,1,1.3,2016-17,2.2,15,4.5,6.9,0.536,PHI,17.8,-0.6,0.8,0.034,2.43209876543,1.13580246914,1.43209876543,0.79012345679,1.18197530864,0.471,0.0987654320988,13.6666666667,Timothe LuwawuCabarrot/2016-17,1.30612244898,0.296296296296,4.04419753086,20.4691358025
217,2.6,0.476,5.4,1.9,0.328,5.9,0.519,4.5,20,33,0.2,0.6,-0.4,-0.3,3.8,13,109,1.1,4.5,0.399,11.3,3.5,0.829,4.3,0.378,0,65,6-3,NBA,1087,16.7,-0.1,0.4,1.1,108,1.1,13.8,3.3,14.5,Devin Harris,1.4,2.1,2016-17,1.9,12.5,4.2,6.8,0.549,DAL,19.7,0.4,2.2,0.096,2.43939393939,1.01515151515,0.878787878788,0.560606060606,1.07742424242,0.484,0.257575757576,19.7272727273,Devin Harris/2016-17,1.15625,0.181818181818,3.91651515152,27.6212121212
202,4.4,0.622,7,0,,0,0,1.2,4.8,27,1.7,3.7,1.7,3.2,9.9,30.5,99,3,4.4,0.622,7,1.8,0.699,2.5,0.359,37,76,7-0,NBA,1330,17.5,-1.5,3.5,11.2,122,2.2,16,4.9,10.5,Dewayne Dedmon,1,1.4,2016-17,1.7,16.9,13.4,21.1,0.645,SAS,12.3,1.2,5.2,0.188,2.44444444444,1.48888888889,3.51111111111,1.51111111111,1.05866666667,0.622,0.0222222222222,16.1444444444,Dewayne Dedmon/2016-17,1.81333333333,0.166666666667,3.95466666667,20.9555555556
314,3,0.429,6.9,2.8,0.341,8.2,0.542,3.9,16.9,26,0.1,0.2,-0.7,-1.8,2.4,7.5,105,0.9,5.8,0.381,15.1,1.5,0.825,1.8,0.119,0,51,6-0,NBA,801,15.7,1,0.9,3,103,0.6,13,2.6,15.8,Patty Mills,1.3,1.8,2014-15,1.6,9,3.4,5.3,0.496,SAS,22.1,0.3,1.4,0.087,2.44827586207,0.862068965517,0.48275862069,0.206896551724,1.25413793103,0.473,0.189655172414,28.3793103448,Patty Mills/2014-15,0.6,0.741379310345,4.76775862069,36.8103448276
612,2,0.446,4.5,3.5,0.403,8.6,0.655,1.2,4.7,28,0.2,0.5,-0.8,-2.6,3.7,11.2,113,1.1,5.5,0.418,13.2,2.2,0.86,2.6,0.194,72,72,6-10,NBA,2116,29.4,1.8,1.9,5.8,119,4,13.5,2.4,16.7,Ryan Anderson,0.5,0.7,2016-17,0.9,6.2,5.6,8.5,0.583,HOU,17.9,0.6,5.2,0.118,2.44827586207,1.10344827586,3.90804597701,2.16091954023,1.79310344828,0.55,0.0574712643678,25.6436781609,Ryan Anderson/2016-17,2.50666666667,0.379310344828,3.72540229885,38.1379310345
153,4.4,0.513,8.6,0,,0,0,1,3.9,30,1.2,2.8,-1.8,1.1,6.9,21.6,106,1.5,4.4,0.513,8.6,2.4,0.84,2.9,0.337,2,75,6-10,NBA,1163,15.5,-2.9,3.4,10,114,1.4,13.1,5.1,11.3,Aron Baynes,0.5,0.7,2016-17,1.5,13.5,10.3,15.6,0.57,DET,14.1,0.1,3,0.123,2.4512195122,1.19512195122,3.68292682927,1.70731707317,0.944512195122,0.513,0.0487804878049,9.73170731707,Aron Baynes/2016-17,2.02898550725,0.0975609756098,3.67158536585,14.5365853659
210,3.8,0.522,7.2,1.7,0.299,5.7,0.442,1.9,8.8,23,0.7,1.6,-1.6,-0.3,5.2,16.9,109,1.3,5.5,0.424,12.9,3,0.791,3.8,0.294,10,75,6-6,NBA,1228,16.4,-1.2,2,6.2,104,0.6,13.9,3.2,15.6,Justin Anderson,1.2,1.7,2016-17,1.9,11.7,7.2,11.3,0.537,TOT,20.9,0.1,1.9,0.074,2.4512195122,1.18292682927,1.4512195122,0.914634146341,1.06658536585,0.49,0.0975609756098,18.5,Justin Anderson/2016-17,1.44230769231,0.19512195122,3.86390243902,26.4756097561
167,4,0.539,7.4,0.2,0.206,1,0.117,8.2,34.5,38,0.2,0.4,-3,-1.8,3.3,10.2,109,0.8,4.2,0.5,8.3,1.7,0.753,2.2,0.266,0,81,6-3,NBA,1253,15.5,-1.2,1.1,3.4,107,1.4,13.3,3,10.2,Andre Miller,0.9,1.3,2014-15,3,24.3,4.4,6.9,0.548,TOT,15.3,-0.3,2.2,0.084,2.45238095238,1.28571428571,0.619047619048,0.333333333333,0.975,0.512,0.47619047619,30.4285714286,Andre Miller/2014-15,0.8,0.535714285714,3.80952380952,37.5476190476
232,3.5,0.462,7.6,2,0.382,5.2,0.406,1.6,6.9,23,0.2,0.5,-4.8,-2.7,3.4,10.8,114,0.5,5.5,0.43,12.8,2.1,0.753,2.8,0.222,26,61,6-5,NBA,1176,19.3,-2.1,0.6,1.9,99,-0.1,9.8,3.3,15.2,Ben McLemore,0.9,1.2,2016-17,1.9,11.9,4,6.4,0.538,SAC,20.1,-0.8,0.4,0.015,2.46153846154,1.03846153846,0.858974358974,0.397435897436,1.10961538462,0.507,0.025641025641,13.3974358974,Ben McLemore/2016-17,0.885714285714,0.269230769231,3.41076923077,20.5769230769
503,2.9,0.481,6.1,0.7,0.302,2.2,0.269,4.4,19.4,22,0.2,0.4,-2.4,-0.7,2.8,9.4,110,0.9,3.6,0.433,8.3,1.2,0.782,1.5,0.181,22,76,5-11,NBA,1865,24.5,-1.6,0.6,1.7,102,0.8,10.9,2.9,9.1,Shane Larkin,1.8,2.6,2014-15,1.6,15.1,3.4,5.4,0.504,NYK,13.6,-0.2,1.7,0.045,2.46341463415,1.06097560976,1.40243902439,0.780487804878,1.60280487805,0.473,0.365853658537,41.4512195122,Shane Larkin/2014-15,1.10344827586,0.670731707317,3.90975609756,50.6219512195
575,1.6,0.502,3.3,2.4,0.398,6,0.644,2.5,9.9,34,0.5,1.1,-0.2,0.5,3.7,10.9,105,2.9,4,0.435,9.2,0.7,0.833,0.8,0.088,80,80,6-7,NBA,2401,30,-0.7,0.2,0.7,104,1.2,9.7,2.4,11.1,Kyle Korver,0.9,1.2,2015-16,1.5,13.3,3.9,5.9,0.578,ATL,13.7,1.1,4.1,0.081,2.46428571429,1,2.57142857143,1.42857142857,1.73633928571,0.563,0.107142857143,18.7321428571,Kyle Korver/2015-16,1.90476190476,0.428571428571,3.45133928571,26.7053571429
489,1.9,0.478,4.1,1.8,0.373,4.9,0.546,1.9,7.7,26,0.5,1,-0.7,-1.1,2.9,9,110,0.8,3.8,0.421,9,1.4,0.74,1.9,0.215,30,75,6-7,NBA,1793,23.9,0.5,1.1,3.4,112,2.1,9.9,3,10.8,Quincy Pondexter,0.4,0.6,2014-15,1,9.4,3.9,6.2,0.55,TOT,13.8,0.6,2.9,0.078,2.47058823529,1.14117647059,1.61176470588,0.847058823529,1.57764705882,0.522,0.152941176471,18.5176470588,Quincy Pondexter/2014-15,1.14285714286,0.447058823529,3.87105882353,26.2352941176
310,3.2,0.532,6.1,1.5,0.329,4.4,0.422,3.3,14.5,32,0.4,0.8,0.3,0.4,3.4,10.3,107,1.3,4.7,0.447,10.5,2.8,0.721,3.9,0.374,0,64,6-3,NBA,1280,20,-0.1,0.5,1.5,107,1.2,13.1,3.5,13.7,Devin Harris,1.7,2.4,2015-16,1.9,13.2,3.9,5.9,0.559,DAL,17.9,0.7,2.5,0.095,2.47368421053,1.22368421053,1.14473684211,0.776315789474,1.24131578947,0.516,0.197368421053,21.3947368421,Devin Harris/2015-16,1.31111111111,0.421052631579,3.68355263158,29.4605263158
